Algorithm,KeySize,KeyGenerationTime(us),EncryptionTime(us),DecryptionTime(us),CiphertextSize(bytes),AttackResult
RSA,2048,155992,46,977,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6076,11650,9382,5471,QUANTUM_SAFE
RSA,2048,157356,45,1043,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3951,9379,5789,5470,QUANTUM_SAFE
RSA,2048,48303,51,1004,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7972,4170,5034,5472,QUANTUM_SAFE
RSA,2048,53619,52,1079,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5477,13643,8917,5474,QUANTUM_SAFE
RSA,2048,59203,48,994,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6154,17977,6866,5471,QUANTUM_SAFE
RSA,2048,36167,45,985,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6987,15824,6525,5468,QUANTUM_SAFE
RSA,2048,42897,46,982,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1657,8870,7904,5473,QUANTUM_SAFE
RSA,2048,53104,46,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3418,13825,7426,5472,QUANTUM_SAFE
RSA,2048,70093,71,1068,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3998,4926,9310,5471,QUANTUM_SAFE
RSA,2048,71716,51,989,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6712,5333,7254,5471,QUANTUM_SAFE
RSA,2048,119233,53,981,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2599,15387,4142,5470,QUANTUM_SAFE
RSA,2048,120606,73,976,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3639,13191,7292,5471,QUANTUM_SAFE
RSA,2048,170787,45,983,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4460,7311,7418,5471,QUANTUM_SAFE
RSA,2048,97068,58,1070,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4752,17506,7667,5468,QUANTUM_SAFE
RSA,2048,54955,51,1012,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2603,6441,7857,5471,QUANTUM_SAFE
RSA,2048,101972,48,994,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2608,9565,6126,5472,QUANTUM_SAFE
RSA,2048,56530,54,980,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4945,12113,4702,5471,QUANTUM_SAFE
RSA,2048,87167,51,1512,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1607,17881,6938,5469,QUANTUM_SAFE
RSA,2048,117116,53,996,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2460,16965,9815,5470,QUANTUM_SAFE
RSA,2048,50820,45,989,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1944,5582,5734,5470,QUANTUM_SAFE
RSA,2048,178435,53,978,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1747,17196,5755,5472,QUANTUM_SAFE
RSA,2048,204946,46,996,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2415,12193,6034,5475,QUANTUM_SAFE
RSA,2048,65727,44,1005,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6031,16556,7282,5469,QUANTUM_SAFE
RSA,2048,26596,69,1220,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6645,11324,6799,5469,QUANTUM_SAFE
RSA,2048,112401,51,990,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1882,16473,6800,5470,QUANTUM_SAFE
RSA,2048,98596,42,1030,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,8000,11383,7160,5470,QUANTUM_SAFE
RSA,2048,63681,39,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4676,4689,4872,5475,QUANTUM_SAFE
RSA,2048,78198,47,1062,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7747,10419,6392,5472,QUANTUM_SAFE
RSA,2048,40552,39,1158,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4087,10626,4318,5469,QUANTUM_SAFE
RSA,2048,132312,46,967,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5596,15861,5101,5469,QUANTUM_SAFE
RSA,2048,126826,60,1237,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4607,14687,8842,5473,QUANTUM_SAFE
RSA,2048,127839,39,996,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3497,13545,7778,5475,QUANTUM_SAFE
RSA,2048,62614,39,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5701,16756,8403,5474,QUANTUM_SAFE
RSA,2048,36371,46,984,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7031,12297,9415,5469,QUANTUM_SAFE
RSA,2048,67132,47,1125,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5740,14255,9731,5470,QUANTUM_SAFE
RSA,2048,49294,39,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4537,17759,8873,5475,QUANTUM_SAFE
RSA,2048,92037,46,994,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2543,9550,7957,5470,QUANTUM_SAFE
RSA,2048,52059,147,999,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1831,8538,8437,5473,QUANTUM_SAFE
RSA,2048,28192,47,1010,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4567,4504,8780,5470,QUANTUM_SAFE
RSA,2048,202669,47,1173,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6640,9637,9765,5469,QUANTUM_SAFE
RSA,2048,150969,45,973,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1544,14705,5831,5475,QUANTUM_SAFE
RSA,2048,61805,41,974,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3730,7819,7415,5472,QUANTUM_SAFE
RSA,2048,23861,46,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6305,5756,4899,5471,QUANTUM_SAFE
RSA,2048,52125,40,981,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1155,16763,5487,5470,QUANTUM_SAFE
RSA,2048,47452,39,974,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2435,13068,4747,5470,QUANTUM_SAFE
RSA,2048,35394,39,977,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6509,5968,5924,5473,QUANTUM_SAFE
RSA,2048,139321,42,1155,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1876,8529,8782,5473,QUANTUM_SAFE
RSA,2048,158682,46,974,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1984,10458,6510,5470,QUANTUM_SAFE
RSA,2048,95976,52,1007,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2270,13397,7849,5468,QUANTUM_SAFE
RSA,2048,56414,49,1090,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1380,17237,7221,5474,QUANTUM_SAFE
RSA,2048,187139,47,979,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6545,10827,9998,5471,QUANTUM_SAFE
RSA,2048,95701,54,977,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5252,7790,9169,5472,QUANTUM_SAFE
RSA,2048,61149,49,1025,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2895,17409,6534,5473,QUANTUM_SAFE
RSA,2048,21185,39,1054,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1996,8252,4273,5475,QUANTUM_SAFE
RSA,2048,112108,48,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3289,15327,6783,5473,QUANTUM_SAFE
RSA,2048,28963,44,1002,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7484,11087,8492,5471,QUANTUM_SAFE
RSA,2048,36116,40,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5995,16837,4791,5469,QUANTUM_SAFE
RSA,2048,55652,40,970,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7739,11459,7540,5473,QUANTUM_SAFE
RSA,2048,108583,47,983,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5924,16699,9069,5471,QUANTUM_SAFE
RSA,2048,107451,41,965,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5557,12686,7497,5474,QUANTUM_SAFE
RSA,2048,157823,223,993,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7240,4974,9892,5473,QUANTUM_SAFE
RSA,2048,59826,47,983,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6507,12923,4405,5468,QUANTUM_SAFE
RSA,2048,33955,56,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6596,13648,5521,5475,QUANTUM_SAFE
RSA,2048,97181,47,968,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3717,17708,4657,5468,QUANTUM_SAFE
RSA,2048,70807,41,978,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7452,14949,8488,5474,QUANTUM_SAFE
RSA,2048,167473,47,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1292,6106,5009,5471,QUANTUM_SAFE
RSA,2048,189343,47,965,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5479,5133,9535,5471,QUANTUM_SAFE
RSA,2048,67801,46,981,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6786,8575,7569,5468,QUANTUM_SAFE
RSA,2048,90551,48,1016,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2413,17549,4909,5471,QUANTUM_SAFE
RSA,2048,60868,68,979,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3777,16981,9750,5471,QUANTUM_SAFE
RSA,2048,123401,46,974,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6124,15624,6944,5474,QUANTUM_SAFE
RSA,2048,74710,39,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2667,15726,9862,5471,QUANTUM_SAFE
RSA,2048,66104,38,973,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7712,17281,5383,5474,QUANTUM_SAFE
RSA,2048,91375,45,983,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1214,17419,4605,5474,QUANTUM_SAFE
RSA,2048,87354,45,970,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7356,10186,8484,5472,QUANTUM_SAFE
RSA,2048,42556,45,976,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1277,6987,9048,5468,QUANTUM_SAFE
RSA,2048,72018,45,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4534,11838,6540,5475,QUANTUM_SAFE
RSA,2048,107410,38,980,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7424,15525,8301,5472,QUANTUM_SAFE
RSA,2048,79807,42,990,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3115,15143,8317,5471,QUANTUM_SAFE
RSA,2048,54789,43,965,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2493,13990,4572,5473,QUANTUM_SAFE
RSA,2048,31241,47,974,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3991,16573,5271,5475,QUANTUM_SAFE
RSA,2048,106598,45,972,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6063,11116,4000,5471,QUANTUM_SAFE
RSA,2048,37862,45,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5630,14037,6508,5475,QUANTUM_SAFE
RSA,2048,111205,38,989,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2072,15294,6714,5469,QUANTUM_SAFE
RSA,2048,135709,46,974,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2861,9899,7051,5472,QUANTUM_SAFE
RSA,2048,121676,45,1019,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5299,5710,9309,5475,QUANTUM_SAFE
RSA,2048,106463,42,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1804,17836,5061,5471,QUANTUM_SAFE
RSA,2048,147397,42,992,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5244,14047,4304,5471,QUANTUM_SAFE
RSA,2048,26963,38,972,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6433,15786,9848,5472,QUANTUM_SAFE
RSA,2048,55591,38,972,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7790,4420,8093,5470,QUANTUM_SAFE
RSA,2048,103622,45,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1729,11310,8308,5468,QUANTUM_SAFE
RSA,2048,34290,45,1072,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2949,6056,7363,5471,QUANTUM_SAFE
RSA,2048,122673,45,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5600,8658,9478,5472,QUANTUM_SAFE
RSA,2048,45254,38,974,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7446,15754,7786,5468,QUANTUM_SAFE
RSA,2048,147880,38,1048,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1602,8716,8322,5475,QUANTUM_SAFE
RSA,2048,161392,131,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6647,11843,6062,5473,QUANTUM_SAFE
RSA,2048,65893,46,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3626,4063,6159,5474,QUANTUM_SAFE
RSA,2048,77898,41,1004,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3228,16895,8472,5472,QUANTUM_SAFE
RSA,2048,87371,38,1050,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4610,9179,5448,5469,QUANTUM_SAFE
RSA,2048,140980,47,1030,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6879,11285,5162,5473,QUANTUM_SAFE
RSA,2048,68479,46,1065,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1577,10004,5006,5468,QUANTUM_SAFE
RSA,2048,58227,45,977,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2652,12131,9344,5468,QUANTUM_SAFE
RSA,2048,91511,38,967,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2478,13589,7193,5473,QUANTUM_SAFE
RSA,2048,63149,46,1074,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4824,11683,8296,5475,QUANTUM_SAFE
RSA,2048,92616,47,962,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3121,7889,8114,5470,QUANTUM_SAFE
RSA,2048,214974,51,1025,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3381,15252,6279,5471,QUANTUM_SAFE
RSA,2048,78791,38,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2519,9144,4503,5469,QUANTUM_SAFE
RSA,2048,198526,47,977,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7228,9784,9765,5469,QUANTUM_SAFE
RSA,2048,120705,45,1036,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1519,9609,7813,5475,QUANTUM_SAFE
RSA,2048,195565,46,982,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3356,10904,4960,5475,QUANTUM_SAFE
RSA,2048,100025,45,970,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6619,7867,5744,5469,QUANTUM_SAFE
RSA,2048,74272,48,994,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3150,6217,5403,5473,QUANTUM_SAFE
RSA,2048,114798,48,991,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4242,12141,7888,5469,QUANTUM_SAFE
RSA,2048,29558,44,979,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5437,12978,4895,5471,QUANTUM_SAFE
RSA,2048,179118,41,968,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6339,10202,8587,5474,QUANTUM_SAFE
RSA,2048,44574,38,980,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3598,11167,9931,5473,QUANTUM_SAFE
RSA,2048,54751,46,978,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2911,14527,8263,5468,QUANTUM_SAFE
RSA,2048,76979,47,1116,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6677,11487,6998,5472,QUANTUM_SAFE
RSA,2048,53247,38,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5468,14027,4830,5474,QUANTUM_SAFE
RSA,2048,119440,39,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6348,7406,8297,5472,QUANTUM_SAFE
RSA,2048,28322,45,977,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3700,15728,9502,5469,QUANTUM_SAFE
RSA,2048,97306,42,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3606,7324,8491,5473,QUANTUM_SAFE
RSA,2048,207263,45,972,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2186,14765,9105,5471,QUANTUM_SAFE
RSA,2048,100302,38,972,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1856,12131,7950,5468,QUANTUM_SAFE
RSA,2048,41597,46,1206,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4104,8674,7169,5475,QUANTUM_SAFE
RSA,2048,100507,45,980,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3962,11621,4102,5474,QUANTUM_SAFE
RSA,2048,31050,46,967,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4657,16342,9175,5473,QUANTUM_SAFE
RSA,2048,104154,45,963,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2800,7802,7909,5470,QUANTUM_SAFE
RSA,2048,62424,40,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5540,4646,9173,5473,QUANTUM_SAFE
RSA,2048,30763,38,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5754,15568,6706,5469,QUANTUM_SAFE
RSA,2048,35537,38,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7650,17813,7013,5472,QUANTUM_SAFE
RSA,2048,200602,40,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7234,7087,8680,5475,QUANTUM_SAFE
RSA,2048,55086,43,992,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5056,6836,9971,5470,QUANTUM_SAFE
RSA,2048,105505,83,1137,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1893,16567,5577,5472,QUANTUM_SAFE
RSA,2048,43130,41,996,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5018,10649,7508,5472,QUANTUM_SAFE
RSA,2048,46541,38,1068,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7011,13005,6296,5472,QUANTUM_SAFE
RSA,2048,47281,38,972,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6376,5771,6976,5469,QUANTUM_SAFE
RSA,2048,118689,48,1001,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1112,10250,5720,5471,QUANTUM_SAFE
RSA,2048,103314,41,964,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6109,10553,5878,5474,QUANTUM_SAFE
RSA,2048,93004,45,1283,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4700,17556,7063,5469,QUANTUM_SAFE
RSA,2048,36806,102,956,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3509,8821,6360,5474,QUANTUM_SAFE
RSA,2048,86703,49,978,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7085,5195,7121,5475,QUANTUM_SAFE
RSA,2048,39744,44,1078,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7436,16913,6992,5474,QUANTUM_SAFE
RSA,2048,121487,47,1023,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7930,4692,7524,5470,QUANTUM_SAFE
RSA,2048,76550,44,1045,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5034,17826,6461,5471,QUANTUM_SAFE
RSA,2048,57640,45,977,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1532,8037,5371,5475,QUANTUM_SAFE
RSA,2048,158487,37,964,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6494,11400,5572,5468,QUANTUM_SAFE
RSA,2048,166093,44,969,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2998,8165,7506,5470,QUANTUM_SAFE
RSA,2048,61635,45,964,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1299,17932,8768,5468,QUANTUM_SAFE
RSA,2048,90462,48,1008,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2968,15703,4888,5470,QUANTUM_SAFE
RSA,2048,34764,42,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3271,15046,4971,5473,QUANTUM_SAFE
RSA,2048,148217,40,992,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4244,17286,6321,5470,QUANTUM_SAFE
RSA,2048,89218,46,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5693,14853,7532,5469,QUANTUM_SAFE
RSA,2048,158750,43,960,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2923,13737,8272,5475,QUANTUM_SAFE
RSA,2048,48816,44,1010,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7199,10537,4225,5472,QUANTUM_SAFE
RSA,2048,191897,38,980,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2329,15288,9255,5474,QUANTUM_SAFE
RSA,2048,85009,45,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4045,13310,7918,5475,QUANTUM_SAFE
RSA,2048,127073,37,961,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1188,12938,4315,5473,QUANTUM_SAFE
RSA,2048,199329,45,1003,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5646,10588,4270,5472,QUANTUM_SAFE
RSA,2048,30576,45,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4160,8035,9935,5468,QUANTUM_SAFE
RSA,2048,69244,45,1012,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1527,14348,8310,5474,QUANTUM_SAFE
RSA,2048,65219,45,1059,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6521,6127,8984,5474,QUANTUM_SAFE
RSA,2048,50878,38,961,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6043,8469,7271,5472,QUANTUM_SAFE
RSA,2048,68984,42,966,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4617,7212,9280,5469,QUANTUM_SAFE
RSA,2048,155981,38,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7485,12173,9729,5475,QUANTUM_SAFE
RSA,2048,224679,40,983,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5051,12288,6453,5471,QUANTUM_SAFE
RSA,2048,123594,38,974,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5188,16817,9315,5474,QUANTUM_SAFE
RSA,2048,25296,41,1117,256,BROKEN_UNDER_QUANTUM_ATTACK
