Algorithm,KeySize,KeyGenerationTime(us),EncryptionTime(us),DecryptionTime(us),CiphertextSize(bytes),AttackResult
RSA,2048,97485,57,996,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1107,15102,9854,5470,QUANTUM_SAFE
RSA,2048,190529,45,1003,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2960,16348,8108,5472,QUANTUM_SAFE
RSA,2048,54418,45,1004,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6105,4633,4084,5469,QUANTUM_SAFE
RSA,2048,82636,54,998,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4172,10940,7100,5473,QUANTUM_SAFE
RSA,2048,79350,63,1016,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5744,4812,8814,5475,QUANTUM_SAFE
RSA,2048,46404,46,1019,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6605,16519,7743,5473,QUANTUM_SAFE
RSA,2048,49546,44,1009,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4450,6699,8747,5471,QUANTUM_SAFE
RSA,2048,256385,116,1070,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5819,10640,5323,5475,QUANTUM_SAFE
RSA,2048,52070,46,1001,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7047,15816,6854,5472,QUANTUM_SAFE
RSA,2048,29132,50,1049,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3006,16882,7601,5471,QUANTUM_SAFE
RSA,2048,67136,46,998,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1891,15335,6073,5474,QUANTUM_SAFE
RSA,2048,153108,47,1172,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5730,6999,6969,5471,QUANTUM_SAFE
RSA,2048,135592,48,1163,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2576,12645,8787,5468,QUANTUM_SAFE
RSA,2048,98333,44,994,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5734,13723,8321,5471,QUANTUM_SAFE
RSA,2048,106005,46,1000,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4553,12974,5098,5470,QUANTUM_SAFE
RSA,2048,37711,53,999,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1496,9344,5008,5475,QUANTUM_SAFE
RSA,2048,82815,57,987,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3514,7122,7402,5473,QUANTUM_SAFE
RSA,2048,139871,46,996,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6798,6322,9625,5473,QUANTUM_SAFE
RSA,2048,27109,53,992,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5825,15694,4333,5469,QUANTUM_SAFE
RSA,2048,73931,45,996,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4950,12166,4631,5468,QUANTUM_SAFE
RSA,2048,118144,53,991,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7773,15150,6622,5475,QUANTUM_SAFE
RSA,2048,32111,109,1041,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4418,15830,6162,5471,QUANTUM_SAFE
RSA,2048,112762,45,990,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7571,13081,8464,5472,QUANTUM_SAFE
RSA,2048,148091,49,986,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4432,16057,5324,5473,QUANTUM_SAFE
RSA,2048,127794,45,1018,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4292,10006,6036,5468,QUANTUM_SAFE
RSA,2048,43246,45,999,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7144,13029,7943,5468,QUANTUM_SAFE
RSA,2048,157643,46,1002,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1836,10037,9639,5475,QUANTUM_SAFE
RSA,2048,72480,47,988,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3175,10791,5216,5475,QUANTUM_SAFE
RSA,2048,202944,45,989,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3270,13772,8852,5470,QUANTUM_SAFE
RSA,2048,145597,44,1009,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5653,8043,5388,5475,QUANTUM_SAFE
RSA,2048,54654,56,1174,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3471,16401,7141,5472,QUANTUM_SAFE
RSA,2048,43537,41,977,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2514,10572,8747,5471,QUANTUM_SAFE
RSA,2048,181729,60,980,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5161,5701,6989,5469,QUANTUM_SAFE
RSA,2048,79546,40,984,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2476,9359,8312,5471,QUANTUM_SAFE
RSA,2048,57370,47,1002,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7265,9115,5366,5471,QUANTUM_SAFE
RSA,2048,106567,40,989,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2295,14732,8197,5474,QUANTUM_SAFE
RSA,2048,83530,40,988,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5103,16214,8644,5474,QUANTUM_SAFE
RSA,2048,127432,39,988,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1171,6111,4272,5475,QUANTUM_SAFE
RSA,2048,181029,49,1046,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5731,15068,8718,5475,QUANTUM_SAFE
RSA,2048,70762,49,982,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6192,16450,8871,5470,QUANTUM_SAFE
RSA,2048,37237,40,1030,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1041,10394,7350,5472,QUANTUM_SAFE
RSA,2048,58977,41,982,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4381,10540,9779,5471,QUANTUM_SAFE
RSA,2048,95434,50,1121,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2599,5397,8022,5473,QUANTUM_SAFE
RSA,2048,216549,43,1002,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6817,13799,9860,5472,QUANTUM_SAFE
RSA,2048,54900,40,1007,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1398,8718,5640,5474,QUANTUM_SAFE
RSA,2048,128964,75,984,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4542,8226,6525,5472,QUANTUM_SAFE
RSA,2048,85568,41,1288,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3737,9273,4673,5470,QUANTUM_SAFE
RSA,2048,63511,39,996,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6876,14194,5891,5471,QUANTUM_SAFE
RSA,2048,95429,68,992,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6694,17351,4139,5470,QUANTUM_SAFE
RSA,2048,118540,49,1058,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3940,16783,8638,5472,QUANTUM_SAFE
RSA,2048,61193,54,988,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4963,17556,9365,5470,QUANTUM_SAFE
RSA,2048,57626,41,981,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7893,5667,9785,5469,QUANTUM_SAFE
RSA,2048,72067,46,986,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2955,10737,7196,5471,QUANTUM_SAFE
RSA,2048,110205,42,984,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5874,9798,4975,5473,QUANTUM_SAFE
RSA,2048,70711,39,988,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4559,14766,5493,5468,QUANTUM_SAFE
RSA,2048,68317,40,1002,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5571,14024,6382,5474,QUANTUM_SAFE
RSA,2048,112537,39,2776,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7797,14360,6242,5469,QUANTUM_SAFE
RSA,2048,44154,46,1043,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2019,4694,5842,5475,QUANTUM_SAFE
RSA,2048,118104,43,1040,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6652,13442,5206,5472,QUANTUM_SAFE
RSA,2048,94390,47,1020,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4016,15711,7502,5468,QUANTUM_SAFE
RSA,2048,40663,48,1022,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6240,13849,7078,5475,QUANTUM_SAFE
RSA,2048,34524,48,990,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4262,8848,6035,5468,QUANTUM_SAFE
RSA,2048,23375,51,978,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3083,14460,9308,5473,QUANTUM_SAFE
RSA,2048,82998,47,995,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7461,10624,8563,5474,QUANTUM_SAFE
RSA,2048,123101,40,993,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1107,4641,5897,5469,QUANTUM_SAFE
RSA,2048,39977,40,987,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5824,11099,6049,5473,QUANTUM_SAFE
RSA,2048,70015,44,987,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5730,13545,9096,5473,QUANTUM_SAFE
RSA,2048,51478,40,1005,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3385,7651,9029,5472,QUANTUM_SAFE
RSA,2048,96583,39,982,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2692,16297,6540,5469,QUANTUM_SAFE
RSA,2048,286721,52,1066,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2949,15032,7727,5475,QUANTUM_SAFE
RSA,2048,94303,42,1037,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3422,16824,8778,5474,QUANTUM_SAFE
RSA,2048,88255,41,1059,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6881,5953,6129,5469,QUANTUM_SAFE
RSA,2048,70680,41,1039,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6394,6708,5975,5470,QUANTUM_SAFE
RSA,2048,63912,40,983,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6024,7423,5148,5470,QUANTUM_SAFE
RSA,2048,87528,43,1393,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7564,9360,8622,5471,QUANTUM_SAFE
RSA,2048,56497,62,1002,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5026,8227,5774,5470,QUANTUM_SAFE
RSA,2048,47243,45,981,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5357,6544,7621,5472,QUANTUM_SAFE
RSA,2048,128840,46,994,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7572,13407,8535,5471,QUANTUM_SAFE
RSA,2048,87070,38,986,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1413,9319,7548,5468,QUANTUM_SAFE
RSA,2048,44100,38,976,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7272,6530,8257,5473,QUANTUM_SAFE
RSA,2048,32076,44,985,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1531,6787,6971,5474,QUANTUM_SAFE
RSA,2048,166631,104,1463,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6573,17697,4828,5468,QUANTUM_SAFE
RSA,2048,134686,40,980,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6808,6506,5577,5475,QUANTUM_SAFE
RSA,2048,112182,38,981,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1865,13587,8474,5472,QUANTUM_SAFE
RSA,2048,43893,38,986,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2010,11544,8324,5472,QUANTUM_SAFE
RSA,2048,163963,42,993,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3683,11110,4275,5474,QUANTUM_SAFE
RSA,2048,95612,50,988,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4299,8142,6404,5469,QUANTUM_SAFE
RSA,2048,68839,40,1028,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6380,5594,8767,5472,QUANTUM_SAFE
RSA,2048,36204,44,996,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3533,17811,6490,5469,QUANTUM_SAFE
RSA,2048,179712,38,990,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4996,5185,7119,5474,QUANTUM_SAFE
RSA,2048,70906,70,1154,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3942,16320,9451,5473,QUANTUM_SAFE
RSA,2048,72038,43,1076,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4715,9928,5539,5468,QUANTUM_SAFE
RSA,2048,71130,45,983,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6815,15673,4627,5471,QUANTUM_SAFE
RSA,2048,45546,39,1089,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4433,12350,5111,5474,QUANTUM_SAFE
RSA,2048,19635,42,1068,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7362,6921,6148,5472,QUANTUM_SAFE
RSA,2048,127818,46,988,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4106,5431,6606,5468,QUANTUM_SAFE
RSA,2048,182201,120,982,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6952,15952,8411,5474,QUANTUM_SAFE
RSA,2048,85613,40,1526,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7936,13078,8745,5473,QUANTUM_SAFE
RSA,2048,92822,38,985,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1231,13532,4564,5470,QUANTUM_SAFE
RSA,2048,77873,45,981,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6840,15703,8156,5471,QUANTUM_SAFE
RSA,2048,145572,45,981,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2163,15252,5591,5468,QUANTUM_SAFE
RSA,2048,58823,38,976,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4014,10820,8247,5473,QUANTUM_SAFE
RSA,2048,49495,39,982,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1750,8100,7009,5470,QUANTUM_SAFE
RSA,2048,52947,42,1038,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6087,9312,9382,5473,QUANTUM_SAFE
RSA,2048,77034,48,1037,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6479,17095,9369,5469,QUANTUM_SAFE
RSA,2048,100870,45,1031,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5453,9029,6934,5468,QUANTUM_SAFE
RSA,2048,122295,39,996,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2990,16708,4614,5472,QUANTUM_SAFE
RSA,2048,104289,46,991,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5097,5784,5123,5473,QUANTUM_SAFE
RSA,2048,101175,43,982,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3195,7492,4980,5473,QUANTUM_SAFE
RSA,2048,97476,47,1965,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4938,9399,7983,5471,QUANTUM_SAFE
RSA,2048,94708,44,991,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7642,11035,8170,5475,QUANTUM_SAFE
RSA,2048,46538,39,977,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5854,16660,8201,5468,QUANTUM_SAFE
RSA,2048,51900,45,1045,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2076,9367,9005,5475,QUANTUM_SAFE
RSA,2048,169548,65,1919,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1184,4595,8645,5475,QUANTUM_SAFE
RSA,2048,162175,46,981,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5064,14204,5907,5474,QUANTUM_SAFE
RSA,2048,83971,38,989,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6361,14482,4888,5470,QUANTUM_SAFE
RSA,2048,74455,46,1157,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3791,5017,7772,5469,QUANTUM_SAFE
RSA,2048,72874,38,976,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5675,11487,5122,5471,QUANTUM_SAFE
RSA,2048,133979,59,987,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6962,9788,7271,5470,QUANTUM_SAFE
RSA,2048,90305,39,986,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6720,10604,8824,5469,QUANTUM_SAFE
RSA,2048,39954,38,983,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1370,11792,5093,5474,QUANTUM_SAFE
RSA,2048,50493,44,1024,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2363,14233,5043,5471,QUANTUM_SAFE
RSA,2048,61249,39,1050,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3726,4220,5279,5471,QUANTUM_SAFE
RSA,2048,95751,45,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3852,11737,8356,5468,QUANTUM_SAFE
RSA,2048,102139,52,993,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3231,5331,5567,5468,QUANTUM_SAFE
RSA,2048,26917,42,986,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6164,17526,7069,5471,QUANTUM_SAFE
RSA,2048,103689,45,1036,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2387,7420,4366,5469,QUANTUM_SAFE
RSA,2048,43160,45,1005,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1916,7059,6906,5473,QUANTUM_SAFE
RSA,2048,232496,39,982,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6274,9230,5679,5470,QUANTUM_SAFE
RSA,2048,106039,45,976,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2351,4071,4539,5472,QUANTUM_SAFE
RSA,2048,43571,48,980,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2451,9673,9992,5470,QUANTUM_SAFE
RSA,2048,144447,45,1064,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7000,14433,6383,5473,QUANTUM_SAFE
RSA,2048,90410,43,997,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5590,11939,6310,5471,QUANTUM_SAFE
RSA,2048,56088,42,1000,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3598,17380,9154,5472,QUANTUM_SAFE
RSA,2048,80370,46,980,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4156,17350,9264,5469,QUANTUM_SAFE
RSA,2048,43555,38,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7392,8829,6042,5474,QUANTUM_SAFE
RSA,2048,83407,45,990,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1611,17601,8838,5469,QUANTUM_SAFE
RSA,2048,140923,43,997,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1033,10760,4007,5468,QUANTUM_SAFE
RSA,2048,164180,41,989,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6525,6222,8297,5470,QUANTUM_SAFE
RSA,2048,90603,79,2921,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7726,14659,7689,5468,QUANTUM_SAFE
RSA,2048,44932,61,1107,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3058,10678,8767,5469,QUANTUM_SAFE
RSA,2048,57175,38,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7307,6159,5954,5469,QUANTUM_SAFE
RSA,2048,76409,38,984,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6360,7404,8561,5471,QUANTUM_SAFE
RSA,2048,24035,45,1086,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7861,8799,9916,5468,QUANTUM_SAFE
RSA,2048,90595,48,1000,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7672,15763,4259,5468,QUANTUM_SAFE
RSA,2048,94727,45,979,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6046,13771,8934,5475,QUANTUM_SAFE
RSA,2048,86179,39,977,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2203,17563,8230,5475,QUANTUM_SAFE
RSA,2048,39372,118,981,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4333,9190,5408,5468,QUANTUM_SAFE
RSA,2048,186792,41,971,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1926,15510,4579,5473,QUANTUM_SAFE
RSA,2048,126685,43,1003,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,5082,12945,4505,5474,QUANTUM_SAFE
RSA,2048,83854,46,980,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4135,4758,8649,5471,QUANTUM_SAFE
RSA,2048,32134,37,975,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2090,4862,6509,5471,QUANTUM_SAFE
RSA,2048,46072,45,985,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3880,5188,8958,5474,QUANTUM_SAFE
RSA,2048,53373,44,970,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1382,13206,7251,5468,QUANTUM_SAFE
RSA,2048,25400,44,976,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2578,14132,9305,5468,QUANTUM_SAFE
RSA,2048,82498,44,997,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1977,9938,7285,5471,QUANTUM_SAFE
RSA,2048,62511,46,1011,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7997,14972,4474,5472,QUANTUM_SAFE
RSA,2048,89276,44,1000,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7714,4908,6331,5474,QUANTUM_SAFE
RSA,2048,69825,47,982,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6827,13530,4113,5475,QUANTUM_SAFE
RSA,2048,140901,38,984,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7542,10607,8325,5475,QUANTUM_SAFE
RSA,2048,200145,44,976,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2079,17255,8788,5473,QUANTUM_SAFE
RSA,2048,64490,45,985,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,2342,14572,9265,5475,QUANTUM_SAFE
RSA,2048,234952,44,985,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3684,8151,7273,5474,QUANTUM_SAFE
RSA,2048,75915,45,978,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7582,16083,7318,5469,QUANTUM_SAFE
RSA,2048,55983,43,978,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1077,14187,7833,5468,QUANTUM_SAFE
RSA,2048,42888,42,980,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,6450,12046,8610,5475,QUANTUM_SAFE
RSA,2048,76692,37,974,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4895,12681,6322,5475,QUANTUM_SAFE
RSA,2048,345105,40,979,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1427,9316,9060,5475,QUANTUM_SAFE
RSA,2048,194301,44,992,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,4186,15379,7059,5469,QUANTUM_SAFE
RSA,2048,32905,40,977,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3841,7056,5559,5471,QUANTUM_SAFE
RSA,2048,65953,45,1004,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,3714,11463,8069,5473,QUANTUM_SAFE
RSA,2048,31633,37,1013,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,1572,6690,4574,5475,QUANTUM_SAFE
RSA,2048,68611,44,995,256,BROKEN_UNDER_QUANTUM_ATTACK
PQC,8192,7389,15869,9863,5468,QUANTUM_SAFE
